"Sport","Entry","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (18/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (19/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (20/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (21/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (22/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (23/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (24/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (25/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (26/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (27/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (28/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
